所属区域,小区名称,价格,房屋面积,户型
"朝阳-朝阳公园-瞰都国际
/
        47.00㎡
        /西北        /
          1室0厅1卫        
/
          中楼层                        （27层）",整租·瞰都国际 1室0厅 西北,7400 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-三元桥-格纳斯
/
        48.10㎡
        /西北        /
          1室1厅1卫        
/
          中楼层                        （7层）",整租·格纳斯 1室1厅 西北,6490 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-高碑店-兴隆家园
/
        97.10㎡
        /西南        /
          2室1厅1卫        
/
          中楼层                        （23层）",整租·兴隆家园 2室1厅 西南,8200 元/月,,"官方核验
业主自荐
集中供暖
随时看房"
"海淀-中关村-东南小区
/
        59.70㎡
        /南        /
          2室1厅1卫        
/
          低楼层                        （6层）",整租·东南小区 2室1厅 南,8900 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
随时看房"
"顺义-后沙峪-中粮祥云国际生活区
/
        176.00㎡
        /南 北        /
          3室2厅2卫        
/
          高楼层                        （14层）",整租·中粮祥云国际生活区 3室2厅 南/北,23000 元/月,,"官方核验
精装
双卫生间"
"丰台-方庄-紫芳园一区
/
        52.38㎡
        /东        /
          1室1厅1卫        
/
          中楼层                        （25层）",整租·紫芳园一区 1室1厅 东,5400 元/月,,"官方核验
业主自荐
精装
集中供暖"
"大兴-高米店-郁花园三里
/
        91.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （16层）",整租·郁花园三里 2室1厅 南/北,5600 元/月,,"官方核验
近地铁
精装
集中供暖"
"朝阳-望京-花家地小区
/
        73.93㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·花家地小区 3室1厅 南/北,10000 元/月,,"官方核验
集中供暖"
"朝阳-方庄-10AM新坐标
/
        30.00㎡
        /西        /
          1室0厅1卫        
/
          低楼层                        （29层）",整租·10AM新坐标 1室0厅 西,4800 元/月,,"官方核验
近地铁
精装
集中供暖
随时看房"
"海淀-双榆树-双榆树北里
/
        70.00㎡
        /南 西北        /
          3室1厅1卫        
/
          中楼层                        （6层）",整租·双榆树北里 3室1厅 南/西北,9500 元/月,,"官方核验
月租
近地铁
集中供暖"
"精选          /
朝阳-潘家园-松榆西里
/
        71.25㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·松榆西里 2室1厅 南,8090 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-常营-北京像素北区
/
        56.91㎡
        /西南 东北        /
          3房间2卫        
/
          高楼层                        （14层）",整租·北京像素北区 3房间 复式 西南/东北,12000 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖
双卫生间"
"顺义-顺义其它-路劲御和府
/
        82.94㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （11层）",整租·路劲御和府 3室1厅 南/北,4000 元/月,,"官方核验
业主自荐
精装
集中供暖"
"丰台-木樨园-慧时欣园二期
/
        141.00㎡
        /西北 东北        /
          3室1厅2卫        
/
          高楼层                        （24层）",整租·慧时欣园二期 3室1厅 西北/东北,11500 元/月,,"官方核验
近地铁
集中供暖
双卫生间"
"大兴-枣园-清源佳园
/
        80.00㎡
        /南 北        /
          2室1厅1卫        
/
          中楼层                        （18层）",整租·清源佳园 2室1厅 南/北,3800 元/月,,"官方核验
集中供暖
随时看房"
"丰台-玉泉营-彩虹街区
/
        80.00㎡
        /东        /
          2室1厅1卫        
/
          中楼层                        （16层）",整租·彩虹街区 2室1厅 东,6000 元/月,,"官方核验
近地铁
集中供暖"
"朝阳-西坝河-西坝河南里
/
        58.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （13层）",整租·西坝河南里 2室1厅 南,7300 元/月,,"官方核验
近地铁
精装
集中供暖"
"石景山-苹果园-金铸阳光苑
/
        60.00㎡
        /南        /
          1室1厅1卫        
/
          中楼层                        （28层）",整租·金铸阳光苑 1室1厅 南,5200 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-燕莎-霞光里35号院
/
        54.65㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （5层）",整租·霞光里35号院 2室1厅 南,8660 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-苏州桥-紫金庄园
/
        82.17㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （22层）",整租·紫金庄园 2室1厅 南,10500 元/月,,"官方核验
近地铁
精装
集中供暖"
"精选          /
朝阳-东大桥-东大桥东里
/
        62.97㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·东大桥东里 2室1厅 南,8030 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"朝阳-红庙-延静里中街
/
        56.34㎡
        /南 北        /
          3室1厅1卫        
/
          中楼层                        （5层）",整租·延静里中街 3室1厅 南/北,6800 元/月,,"官方核验
集中供暖"
"东城-广渠门-北京上舍
/
        57.00㎡
        /北        /
          1室1厅1卫        
/
          中楼层                        （15层）",整租·北京上舍 1室1厅 北,7500 元/月,,"官方核验
精装
集中供暖"
"朝阳-农展馆-农展南里
/
        65.13㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·农展南里 2室1厅 南/北,8100 元/月,,"官方核验
业主自荐
近地铁
精装
集中供暖"
"精选          /
海淀-定慧寺-定慧东里
/
        65.30㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·定慧东里 2室1厅 南,7760 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
通州-潞苑-华龙小区
/
        79.88㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·华龙小区 2室1厅 南,4160 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-五棵松-紫金长安
/
        127.46㎡
        /东南 西        /
          3室2厅2卫        
/
          低楼层                        （12层）",整租·紫金长安 3室2厅 东南/西,18000 元/月,,"官方核验
集中供暖
双卫生间"
"朝阳-双井-双井黄木厂6号院
/
        64.09㎡
        /南 北        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·双井黄木厂6号院 2室1厅 南/北,6400 元/月,,"官方核验
精装
集中供暖
随时看房"
"西城-六铺炕-德胜置业
/
        98.00㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （20层）",整租·德胜置业 2室1厅 南,15000 元/月,,"官方核验
集中供暖"
"昌平-回龙观-首开国风美唐二期
/
        81.78㎡
        /东        /
          2室1厅1卫        
/
          低楼层                        （21层）",整租·首开国风美唐二期 2室1厅 东,8000 元/月,,"官方核验
业主自荐
精装
集中供暖"
"精选          /
海淀-小西天-五月华庭
/
        38.20㎡
        /北        /
          1室1厅1卫        
/
          低楼层                        （12层）",整租·五月华庭 1室1厅 北,6130 元/月,,"公寓
近地铁
精装
押一付一
随时看房"
"石景山-石景山其它-绿城西府海棠
/
        90.00㎡
        /南 北        /
          3室1厅1卫        
/
          低楼层                        （8层）",整租·绿城西府海棠 3室1厅 南/北,6000 元/月,,"官方核验
精装
集中供暖"
"精选          /
西城-[木樨地]-白云观
/
        55.00㎡
        /南        /
          2室1厅1卫        
/
          中楼层                        （6层）",整租·白云观 2室1厅 南,7960 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"海淀-四季青-美丽星苑
/
        86.00㎡
        /南 北        /
          2室1厅1卫        
/
          低楼层                        （10层）",整租·美丽星苑 2室1厅 南/北,10000 元/月,,"官方核验
业主自荐"
"精选          /
朝阳-西坝河-西坝河东里
/
        43.87㎡
        /西南        /
          1室1厅1卫        
/
          中楼层                        （18层）",整租·西坝河东里 1室1厅 西南,6860 元/月,,"公寓
近地铁
精装
集中供暖
押一付一
随时看房"
"朝阳-西坝河-西坝河东里
/
        64.00㎡
        /东南        /
          2室1厅1卫        
/
          高楼层                        （18层）",整租·西坝河东里 2室1厅 东南,8400 元/月,,"官方核验
近地铁
精装
集中供暖"
"通州-通州其它-台湖金茂悦
/
        89.00㎡
        /南 北        /
          3室1厅1卫        
/
          高楼层                        （18层）",整租·台湖金茂悦 3室1厅 南/北,6500 元/月,,"官方核验
精装
集中供暖"
"精选          /
朝阳-亚运村-慧忠北里第三社区
/
        72.00㎡
        /西        /
          1室1厅1卫        
/
          低楼层                        （25层）",整租·慧忠北里第三社区 1室1厅 西,7760 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
"精选          /
海淀-知春路-罗庄南里
/
        61.40㎡
        /南        /
          2室1厅1卫        
/
          高楼层                        （6层）",整租·罗庄南里 2室1厅 南,8560 元/月,,"公寓
精装
集中供暖
押一付一
随时看房"
